name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
上海亚虹,专用机械,上海,164.1,2500.0,10000.0,48808.34,32324.77,11875.71,12207.2,1.22,0.35,3.66,16.27,20160812
*ST八钢,普钢,新疆,0.0,76644.89,76644.89,1764611.75,232870.55,1429367.75,104487.18,1.36,-0.72,-1.89,-2.86,20020816
大晟文化,综合类,深圳,120.32,6289.93,13986.59,243552.97,99101.28,1230.58,157581.86,11.27,0.456,11.3,6.47,19960315
金莱特,家用电器,广东,721.87,5565.75,18670.0,97700.25,38230.01,35769.57,22370.9,1.2,0.028999999999999998,3.43,8.11,20140129
天华超净,电脑设备,江苏,189.38,11954.67,34454.75,98432.36,40088.56,26651.7,27931.95,0.81,0.057,2.33,6.19,20140731
新钢股份,钢加工,江西,22.95,278689.63,278689.63,2756121.0,1478673.38,1083162.5,567975.0,2.04,0.099,2.99,1.01,19961225
开滦股份,煤炭开采,河北,36.89,123464.0,123464.0,2080815.0,743184.88,649737.19,102663.61,0.83,0.165,5.55,1.46,20040602
朗科智能,电气设备,深圳,98.58,1500.0,6000.0,86360.56,65575.06,8240.1,33025.15,5.5,1.36,9.93,13.52,20160908
四川美丰,农药化肥,四川,0.0,59148.42,59148.42,456166.75,133957.88,225914.67,64085.73,1.08,-0.17600000000000002,4.41,2.55,19970617
德宏股份,汽车配件,浙江,83.04,1960.0,7840.0,71448.77,45610.23,12527.15,26002.59,3.32,0.75,6.77,10.92,20160412
正平股份,建筑施工,青海,175.26,9970.0,40000.3,362505.78,317068.63,13703.69,37006.23,0.93,0.16,2.99,9.68,20160905
中国建筑,建筑施工,北京,7.28,2994681.5,3000000.0,134309760.0,106932224.0,2756152.75,1529999.38,0.51,0.79,6.21,1.29,20090729
邦宝益智,文教休闲,广东,125.19,5280.0,21120.0,60894.82,40480.98,8055.56,20298.11,0.96,0.23399999999999999,2.69,14.47,20151209
文峰股份,超市连锁,江苏,44.93,184800.0,184800.0,681294.0,254015.2,306830.59,83830.3,0.45,0.1,2.2,2.72,20110603
